transaction_id,amount_valid,currency_valid,channel_valid,status_valid,timestamp_valid
TXN00024097,FAIL,PASS,PASS,PASS,PASS
TXN00016360,FAIL,PASS,PASS,PASS,PASS
TXN00007932,PASS,FAIL,PASS,PASS,PASS
TXN00008767,PASS,FAIL,PASS,PASS,PASS
TXN00013398,FAIL,PASS,FAIL,PASS,PASS
TXN00001811,PASS,PASS,FAIL,PASS,PASS
TXN00002146,PASS,FAIL,PASS,PASS,PASS
TXN00038429,PASS,PASS,FAIL,PASS,PASS
TXN00040991,PASS,PASS,FAIL,PASS,PASS
TXN00004398,PASS,PASS,FAIL,PASS,PASS
TXN00011155,PASS,PASS,FAIL,PASS,PASS
TXN00029824,PASS,FAIL,PASS,PASS,PASS
TXN00035134,PASS,FAIL,PASS,PASS,PASS
TXN00036227,PASS,PASS,FAIL,PASS,PASS
TXN00020799,PASS,PASS,FAIL,PASS,PASS
TXN00020375,PASS,PASS,FAIL,PASS,PASS
TXN00026071,PASS,FAIL,PASS,PASS,PASS
TXN00000175,PASS,PASS,FAIL,PASS,PASS
TXN00025309,PASS,PASS,FAIL,PASS,PASS
TXN00022505,PASS,PASS,FAIL,PASS,PASS
TXN00046171,PASS,FAIL,PASS,PASS,PASS
TXN00001714,PASS,FAIL,PASS,PASS,PASS
TXN00020056,PASS,PASS,FAIL,PASS,PASS
TXN00004328,PASS,PASS,FAIL,PASS,PASS
TXN00041447,PASS,PASS,FAIL,PASS,PASS
TXN00035302,PASS,FAIL,PASS,PASS,PASS
TXN00007450,PASS,PASS,FAIL,PASS,PASS
TXN00012637,PASS,PASS,FAIL,PASS,PASS
TXN00043897,PASS,PASS,FAIL,PASS,PASS
TXN00020258,PASS,PASS,FAIL,PASS,PASS
TXN00006609,PASS,FAIL,PASS,PASS,PASS
TXN00015075,PASS,FAIL,PASS,PASS,PASS
TXN00007745,PASS,PASS,FAIL,PASS,PASS
TXN00027672,PASS,PASS,FAIL,PASS,PASS
TXN00034989,PASS,FAIL,PASS,PASS,PASS
TXN00024401,PASS,PASS,FAIL,PASS,PASS
TXN00035678,PASS,FAIL,PASS,PASS,PASS
TXN00032063,PASS,FAIL,PASS,PASS,PASS
TXN00011000,PASS,FAIL,PASS,PASS,PASS
TXN00045428,FAIL,PASS,PASS,PASS,PASS
TXN00030060,PASS,FAIL,PASS,PASS,PASS
TXN00016587,PASS,FAIL,PASS,PASS,PASS
TXN00010323,PASS,FAIL,FAIL,PASS,PASS
TXN00046082,FAIL,PASS,PASS,PASS,PASS
TXN00038837,PASS,PASS,FAIL,PASS,PASS
TXN00014213,PASS,FAIL,PASS,PASS,PASS
TXN00008947,PASS,FAIL,PASS,PASS,PASS
TXN00041321,PASS,PASS,FAIL,PASS,PASS
TXN00042814,PASS,FAIL,PASS,PASS,PASS
TXN00019865,PASS,FAIL,PASS,PASS,PASS
TXN00009666,PASS,FAIL,PASS,PASS,PASS
TXN00038814,PASS,PASS,FAIL,PASS,PASS
TXN00019921,PASS,FAIL,PASS,PASS,PASS
TXN00020418,PASS,FAIL,PASS,PASS,PASS
TXN00016862,PASS,FAIL,PASS,PASS,PASS
TXN00032184,PASS,FAIL,PASS,PASS,PASS
TXN00012428,PASS,FAIL,PASS,PASS,PASS
TXN00002468,PASS,FAIL,PASS,PASS,PASS
TXN00009590,PASS,FAIL,PASS,PASS,PASS
TXN00040990,PASS,FAIL,PASS,PASS,PASS
TXN00043854,FAIL,PASS,PASS,PASS,PASS
TXN00011942,PASS,PASS,FAIL,PASS,PASS
TXN00002355,PASS,PASS,FAIL,PASS,PASS
TXN00034387,PASS,PASS,FAIL,PASS,PASS
TXN00010013,FAIL,PASS,PASS,PASS,PASS
TXN00044193,PASS,PASS,FAIL,PASS,PASS
TXN00019459,PASS,FAIL,PASS,PASS,PASS
TXN00006004,PASS,FAIL,PASS,PASS,PASS
TXN00028835,PASS,FAIL,PASS,PASS,PASS
TXN00042589,PASS,FAIL,FAIL,PASS,PASS
TXN00044593,PASS,FAIL,PASS,PASS,PASS
TXN00016425,PASS,FAIL,PASS,PASS,PASS
TXN00016158,PASS,FAIL,PASS,PASS,PASS
TXN00042476,PASS,PASS,FAIL,PASS,PASS
TXN00014166,FAIL,PASS,PASS,PASS,PASS
TXN00033970,PASS,FAIL,PASS,PASS,PASS
TXN00033020,PASS,FAIL,PASS,PASS,PASS
TXN00026727,PASS,FAIL,PASS,PASS,PASS
TXN00033693,FAIL,PASS,PASS,PASS,PASS
TXN00016400,PASS,FAIL,PASS,PASS,PASS
TXN00032300,PASS,FAIL,PASS,PASS,PASS
TXN00011694,PASS,FAIL,PASS,PASS,PASS
TXN00020096,PASS,FAIL,PASS,PASS,PASS
TXN00009334,PASS,FAIL,PASS,PASS,PASS
TXN00013425,PASS,FAIL,PASS,PASS,PASS
TXN00039947,PASS,PASS,FAIL,PASS,PASS
TXN00043700,PASS,FAIL,PASS,PASS,PASS
TXN00042375,PASS,FAIL,PASS,PASS,PASS
TXN00015680,PASS,FAIL,PASS,PASS,PASS
TXN00019355,FAIL,PASS,PASS,PASS,PASS
TXN00011329,PASS,FAIL,PASS,PASS,PASS
TXN00039252,PASS,FAIL,PASS,PASS,PASS
TXN00032356,PASS,FAIL,PASS,PASS,PASS
TXN00038298,FAIL,PASS,PASS,PASS,PASS
TXN00011301,PASS,FAIL,PASS,PASS,PASS
TXN00041851,PASS,PASS,FAIL,PASS,PASS
TXN00047372,PASS,FAIL,PASS,PASS,PASS
TXN00047301,PASS,PASS,FAIL,PASS,PASS
TXN00039110,PASS,FAIL,PASS,PASS,PASS
TXN00048420,PASS,FAIL,PASS,PASS,PASS
TXN00026370,PASS,PASS,FAIL,PASS,PASS
TXN00047870,PASS,PASS,FAIL,PASS,PASS
TXN00017095,PASS,PASS,FAIL,PASS,PASS
TXN00014153,PASS,PASS,FAIL,PASS,PASS
TXN00000521,PASS,FAIL,PASS,PASS,PASS
TXN00030873,PASS,FAIL,PASS,PASS,PASS
TXN00043383,PASS,FAIL,PASS,PASS,PASS
TXN00031681,PASS,PASS,FAIL,PASS,PASS
TXN00005116,PASS,FAIL,PASS,PASS,PASS
TXN00009209,PASS,PASS,FAIL,PASS,PASS
TXN00050143,PASS,PASS,FAIL,PASS,PASS
TXN00042731,PASS,PASS,FAIL,PASS,PASS
TXN00012309,PASS,FAIL,PASS,PASS,PASS
TXN00006778,FAIL,PASS,PASS,PASS,PASS
TXN00007214,PASS,PASS,FAIL,PASS,PASS
TXN00026735,PASS,PASS,FAIL,PASS,PASS
TXN00032131,PASS,FAIL,FAIL,PASS,PASS
TXN00022647,PASS,FAIL,PASS,PASS,PASS
TXN00015073,PASS,PASS,FAIL,PASS,PASS
TXN00040300,PASS,PASS,FAIL,PASS,PASS
TXN00031067,PASS,PASS,FAIL,PASS,PASS
TXN00038540,PASS,FAIL,PASS,PASS,PASS
TXN00002092,PASS,PASS,FAIL,PASS,PASS
TXN00031532,PASS,FAIL,PASS,PASS,PASS
TXN00000512,PASS,PASS,FAIL,PASS,PASS
TXN00040356,PASS,PASS,FAIL,PASS,PASS
TXN00024978,PASS,PASS,FAIL,PASS,PASS
TXN00009317,PASS,FAIL,PASS,PASS,PASS
TXN00046653,PASS,PASS,FAIL,PASS,PASS
TXN00019198,PASS,PASS,FAIL,PASS,PASS
TXN00030455,PASS,FAIL,PASS,PASS,PASS
TXN00002625,PASS,FAIL,PASS,PASS,PASS
TXN00002740,PASS,FAIL,PASS,PASS,PASS
TXN00036438,PASS,PASS,FAIL,PASS,PASS
TXN00033798,PASS,FAIL,PASS,PASS,PASS
TXN00026055,PASS,FAIL,PASS,PASS,PASS
TXN00018443,PASS,PASS,FAIL,PASS,PASS
TXN00008129,PASS,PASS,FAIL,PASS,PASS
TXN00017003,PASS,PASS,FAIL,PASS,PASS
TXN00030879,PASS,FAIL,PASS,PASS,PASS
TXN00019672,PASS,FAIL,PASS,PASS,PASS
TXN00009961,PASS,PASS,FAIL,PASS,PASS
TXN00015781,FAIL,PASS,PASS,PASS,PASS
TXN00005418,PASS,PASS,FAIL,PASS,PASS
TXN00015568,PASS,FAIL,PASS,PASS,PASS
TXN00006799,PASS,FAIL,PASS,PASS,PASS
TXN00000374,PASS,FAIL,PASS,PASS,PASS
TXN00017641,PASS,PASS,FAIL,PASS,PASS
TXN00036414,PASS,FAIL,PASS,PASS,PASS
TXN00022723,PASS,FAIL,PASS,PASS,PASS
TXN00023447,PASS,PASS,FAIL,PASS,PASS
TXN00035205,PASS,FAIL,PASS,PASS,PASS
TXN00044813,PASS,FAIL,PASS,PASS,PASS
TXN00008769,PASS,FAIL,PASS,PASS,PASS
TXN00025147,PASS,PASS,FAIL,PASS,PASS
TXN00001817,PASS,PASS,FAIL,PASS,PASS
TXN00005023,PASS,PASS,FAIL,PASS,PASS
TXN00048746,PASS,PASS,FAIL,PASS,PASS
TXN00026392,PASS,FAIL,PASS,PASS,PASS
TXN00018541,FAIL,PASS,PASS,PASS,PASS
TXN00004348,FAIL,PASS,PASS,PASS,PASS
TXN00038111,PASS,PASS,FAIL,PASS,PASS
TXN00020455,PASS,FAIL,PASS,PASS,PASS
TXN00012869,PASS,PASS,FAIL,PASS,PASS
TXN00047285,PASS,FAIL,PASS,PASS,PASS
TXN00049794,PASS,PASS,FAIL,PASS,PASS
TXN00044286,PASS,FAIL,PASS,PASS,PASS
TXN00040989,PASS,PASS,FAIL,PASS,PASS
TXN00043898,PASS,FAIL,PASS,PASS,PASS
