transaction_id,customer_id,account_id,timestamp,amount,currency,channel,transaction_type,merchant_category,city,is_fraud,fraud_type,status,masked_card,is_near_dup,dup_type
TXN00045650,CUST000008,ACC0000911,2024-11-15 14:35:56,411.32,SAR,MOBILE,CREDIT,RETAIL,Medina,0,LEGITIMATE,COMPLETED,****-****-****-6151,True,NEAR_DUPLICATE
TXN00017345,CUST000024,ACC0006872,2024-10-24 10:17:58,32.2,,POS,DEBIT,ELECTRONICS,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-8330,True,NEAR_DUPLICATE
TXN00050144,CUST000027,ACC0008866,2024-09-29 07:11:28,56.27622,SAR,MOBILE,CASH_WITHDRAWAL,UNKNOWN,Mecca,0,LEGITIMATE,COMPLETED,****-****-****-7659,True,NEAR_DUPLICATE
TXN00005925,CUST000032,ACC0001468,2024-11-25 18:40:50,1618.16,SAR,POS,TRANSFER,RETAIL,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-1575,True,NEAR_DUPLICATE
TXN00036257,CUST000081,ACC0007547,2024-07-07 13:41:48,833.33,SAR,POS,DEBIT,RETAIL,,0,LEGITIMATE,COMPLETED,****-****-****-4917,True,NEAR_DUPLICATE
TXN00039624,CUST000082,ACC0002922,2024-05-26 11:00:31,51.38,SAR,MOBILE,CREDIT,ELECTRONICS,Medina,0,LEGITIMATE,COMPLETED,****-****-****-3455,True,NEAR_DUPLICATE
TXN00050146,CUST000106,ACC0003019,2024-01-22 13:38:06,1592.9613699999998,SAR,MOBILE,TRANSFER,FOOD,Khobar,0,LEGITIMATE,COMPLETED,****-****-****-4967,True,NEAR_DUPLICATE
TXN00034114,CUST000111,ACC0007375,2024-01-09 06:35:56,1142.85,USD,ATM,CASH_WITHDRAWAL,GAMBLING,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-2546,True,NEAR_DUPLICATE
TXN00034581,CUST000112,ACC0005790,2024-03-10 08:14:27,515.48,SAR,MOBILE,CASH_WITHDRAWAL,ELECTRONICS,Medina,0,LEGITIMATE,COMPLETED,****-****-****-6543,True,NEAR_DUPLICATE
TXN00034638,CUST000139,ACC0005117,2024-08-31 02:45:57,1995.84,GBP,ONLINE,CREDIT,RETAIL,Dammam,0,LEGITIMATE,COMPLETED,****-****-****-8444,True,NEAR_DUPLICATE
